# Rg    beta propensity
1.52982  15.71428571
1.63473  11.42857143
1.49609  7.142857143
1.48587  5.714285714
1.52283  4.285714286
1.51752  4.285714286
1.48407  10.71428571
1.48033  10.71428571
1.52117  17.14285714
 1.6258  12.14285714
 1.4934  22.85714286
1.49006  10.71428571
1.52555  17.14285714
1.48077  12.14285714
1.48583  12.14285714
1.48712  20
1.62484  24.28571429
1.62236  23.57142857
1.48379  22.85714286
1.49486  21.42857143
1.62084  12.14285714
1.50209  10
1.48559  7.142857143
1.61844  12.14285714
1.48696  22.85714286
1.48741  12.14285714
1.45836  17.85714286
1.47917  22.85714286
1.48719  21.42857143
1.49681  12.14285714
1.47564  7.142857143
1.52449  15.71428571
1.52033  15
1.51755  14.28571429
1.46303  19.28571429
1.51653  5.714285714
1.51708  5.714285714
1.52231  15.71428571
1.52803  15
 1.5313  7.857142857
1.48374  14.28571429
1.52731  7.142857143
 1.5465  5.714285714
1.48785  20
1.53863  5.714285714
1.45369  16.42857143
1.54258  6.428571429
1.50657  20
1.47627  7.142857143
1.48902  18.57142857
1.47398  7.142857143
 1.5959  10.71428571
1.60092  11.42857143
1.50016  10
1.64569  24.28571429
1.48475  12.14285714
 1.6289  19.28571429
1.47661  7.142857143
1.50453  5.714285714
 1.4912  10
1.49064  10.71428571
1.62437  19.28571429
1.62728  17.85714286
1.52901  5.714285714
1.51286  8.571428571
1.54217  5.714285714
1.59948  10.71428571
 1.4651  17.85714286
1.48186  10.71428571
1.48615  13.57142857
1.63827  17.85714286
 1.5451  5.714285714
1.62456  17.85714286
1.61926  18.57142857
1.63755  18.57142857
1.62563  19.28571429
1.52704  5.714285714
1.53844  5
1.60296  10
1.52825  5
 1.5218  2.857142857
1.46838  15.71428571
1.47861  16.42857143
1.63911  22.14285714
1.46243  7.142857143
 1.4918  13.57142857
 1.4889  12.14285714
1.47315  16.42857143
1.47234  7.142857143
1.49235  10.71428571
1.47997  4.285714286
 1.5441  5.714285714
1.52679  5.714285714
1.53556  7.857142857
1.51955  4.285714286
  1.542  5.714285714
1.49307  15.71428571
1.53825  5.714285714
1.53435  5.714285714
1.48777  9.285714286
1.48603  12.14285714
 1.5173  4.285714286
1.49059  15
1.49745  15.71428571
1.49252  9.285714286
1.47965  15
1.45459  10.71428571
1.48258  10.71428571
1.45978  4.285714286
1.46943  7.142857143
1.50758  8.571428571
1.48897  15.71428571
1.48043  7.142857143
1.50754  10
1.49952  15.71428571
1.48838  22.85714286
1.48104  10.71428571
1.51818  5
 1.5032  10
1.50111  10
1.49331  5.714285714
 1.6274  24.28571429
1.48058  10.71428571
1.61938  17.85714286
1.51158  6.428571429
1.45815  10
1.47512  4.285714286
1.54505  6.428571429
1.61034  12.85714286
1.46537  7.142857143
1.47716  7.142857143
1.49471  21.42857143
1.60676  18.57142857
1.46504  10.71428571
1.51372  4.285714286
1.62495  20
1.46411  5.714285714
1.47396  7.142857143
1.48532  18.57142857
 1.6414  17.14285714
1.46193  7.142857143
1.47085  10.71428571
1.51177  5.714285714
1.46476  10.71428571
1.46298  5.714285714
1.50011  5.714285714
1.48035  22.85714286
1.50326  5.714285714
 1.4579  10
1.47581  20
1.49173  21.42857143
1.46984  7.142857143
1.51368  7.142857143
 1.5682  4.285714286
1.55757  5.714285714
1.57209  5.714285714
1.57278  4.285714286
 1.4826  10.71428571
1.45205  8.571428571
1.50917  7.142857143
1.48561  5.714285714
 1.5845  5.714285714
1.50999  7.142857143
1.60207  5.714285714
1.55685  15
1.49308  21.42857143
1.49496  5.714285714
1.55488  16.42857143
  1.499  5.714285714
1.49589  21.42857143
1.60818  22.14285714
1.56183  12.14285714
 1.6128  22.14285714
1.63047  10.71428571
1.55426  13.57142857
1.63329  10
1.64379  10
1.46375  10
  1.467  10
1.51759  7.142857143
1.51463  8.571428571
 1.5185  7.142857143
1.46093  7.142857143
1.55408  16.42857143
1.55662  13.57142857
1.48811  10.71428571
1.48267  21.42857143
1.65459  10.71428571
1.48976  12.14285714
1.49292  10.71428571
  1.476  12.14285714
1.64421  10
1.51302  8.571428571
1.50885  8.571428571
1.48368  8.571428571
 1.4862  13.57142857
1.63684  10.71428571
1.63854  15
1.48601  7.142857143
1.45853  8.571428571
 1.5045  12.14285714
1.48416  13.57142857
1.46697  8.571428571
1.49993  15.71428571
1.49458  15.71428571
1.61166  20
1.47574  7.142857143
 1.5134  5
1.65167  10.71428571
1.64178  10.71428571
 1.5067  8.571428571
 1.4668  7.142857143
1.50396  7.142857143
1.64329  9.285714286
 1.4562  7.142857143
1.47156  7.142857143
1.62048  23.57142857
1.47327  7.142857143
1.48987  4.285714286
 1.6095  25
1.55621  17.14285714
1.50311  4.285714286
1.49484  4.285714286
1.55316  13.57142857
1.49187  5.714285714
1.49675  5.714285714
1.51133  5.714285714
